name,public_key,lat,lon
DE.BW.BB | Leonberg 01,abd78ceef14ca479b0ceb3e73e2422e7ffe86e98fb4e1cd4982940f1bb36d618,48.8166410,9.0172110
DE.BW.BB | Rutesheim 2,cb53b0e37e1951dae2afe058f9ef624e6d99ee3f4530af7a5e8ead297c7f1610,48.8085050,8.9447650
DE.BW.BB | Rutesheim 3,89879a0d9bfec651c3d6f85c8e3d50d307f196e8b805559888a568919e4e5d83,48.8096020,8.9333740
DE.BW.BB | Sindelfingen,7e796dbd75585e908285690265f27e6309318744d9f58bb6ff86a9716518143a,48.7013510,9.0162800
DE.BW.BB | Weil_i_Sch,19bfda57666f90fbed30a0af32e3c9092415182f91e7c7b2bcff2b06bca2f846,48.6170420,9.0397800
DE.BW.BB|Rak-4631,90ad1b2c460adcbc5d8751cda031ebce7087643ec2fb0132ba7eabbec98240bf,48.7118410,9.0048300
DE.BW.BB|RAK_SifiOst,28c5e310ce53e92dff79ff979cc37d02423556090b33103baa41d520923309ae,48.7091940,9.0152480
DE.BW.BB|Rutesheim-5,97ca0ff23dd71e136b5bfedaf5a14eada8cf82cc7803015810a0ea84c8cde4fd,48.8041020,8.9401230
de.bw.br.ogb.mitte,fbc37577bb0ccc261c83841793219673b5a20a756451815dc2d5cdbcebdff39d,49.0770600,8.5834200
de.bw.br.ugb-nordwest,1008609cef19756405765f08dcb024654568e09e20f837e44fac1be501b6158f,49.0944020,8.5507720
de.bw.br.ugb-west,34b7ca4e5afc21c1d5dcdd0fb148f472ad5ba2e75e790a065f86d09b8f2482d9,49.0924830,8.5432720
de.bw.br.ugr.ost,8bba757a3e4b3038fe4c8d7f8b4f69a7f518730c3e77e81d0c527491255eed51,49.0826400,8.5629400
DE.BW.ES KESYS Rpt02,f33fd4350f86b9f362cbcc27d8a2c6992d8d6e556e64dad2f093db991db17a31,48.6750220,9.3765040
DE.BW.ES Teck,ad8f20ccc448bd32d44523a2a7898eba30cc4313700403877c483554cedb19d3,48.5678400,9.4961200
DE.BW.ES | Brucken Hill,044089eb0e7b3c0ea959c96edfab92d1dc6786a778af235df24b2eaa0f240742,48.5713690,9.4513300
DE.BW.ES | Dulk,4b26e74b2b7f0887a7fbd30cf1074eaaa5c0849fbbb7afecd7fa003af35ecf49,48.7585760,9.3384670
